12-Straight 5 22 11111111111,8
6 4 2222 11,8
11-Straight 4 33 2 11111111,8
9-Straight 3333 11111111,8
9-Straight 3333 2 111111,8
55 3 22 111,8
12-Straight 4 3 1111111111111,8
4-Straight 6 4 1111111111,8
5-Straight 55 22 111111,8
11-Straight 4 22222 111111,8
16-Straight 22 1111111111111111,8
10-Straight 333 222 11111,8
5-Straight 6 4 222 1111,8
6 5 22 11111,8
44 333 111,8
5-Straight 6 3 2222 111,8
7-Straight 44 3 222 111,8
16-Straight 3 2 111111111111111,8
10-Straight 3 2222222 111,8
6-Straight 6 33 2 111111,8
4-Straight 7 2 11111111111,8
13-Straight 4 3 2 11111111111,8
4-Straight 7 3 222 1111,8
9-Straight 5 22222 11111,8
6-Straight 333 22222 1,8
8-Straight 6 3 11111111111,7
14-Straight 222222 11111111,7
8-Straight 5 3 2222 1111,7
5 44 3 1111,7
13-Straight 22 1111111111111111,7
15-Straight 22 1111111111111111,7
4-Straight 6 5 2 1111111,7
13-Straight 2222222 111111,7
8-Straight 44 3 111111111,7
5-Straight 444 11111111,7
7-Straight 6 3 222 11111,7
4-Straight 444 3 11111,7
5-Straight 6 4 3 2 11111,7
4-Straight 44 33 22 11,7
5-Straight 7 2 11111111111,7
5-Straight 7 2222 11111,7
10-Straight 5 3 222 111111,7
9-Straight 44 3 2 1111111,7
4-Straight 5 4 33 2 111,7
7-Straight 5 222222 111,7
6 5 2 1111111,7
16-Straight 3 22 1111111111111,7
9-Straight 5 4 2 111111111,7
9-Straight 6 2 111111111111,7
6 333 11111,7
12-Straight 5 2 1111111111111,7
10-Straight 3333 2 111111,6
16-Straight 2222 111111111111,6
6 3 11111111111,6
4-Straight 33 2222222,6
9-Straight 44 3 111111111,6
6-Straight 55 2 11111111,6
8-Straight 6 3 22 1111111,6
18-Straight 22 1111111111111111,6
14-Straight 33 22 1111111111,6
5 4 33 22 1,6
4-Straight 55 1111111111,6
11-Straight 5 2222 1111111,6
8 222 111111,6
7-Straight 4 33 2222 11,6
5-Straight 4 3333 1111,6
4-Straight 5 44 1111111,6
15-Straight 33 2 111111111111,6
5-Straight 4 333 222 1,6
10-Straight 6 22 1111111111,6
